n,run,test_acc,train_acc
9,0,0.9630555555555556,0.9570833333333333
9,1,0.9552777777777778,0.9590277777777778
9,2,0.9583333333333334,0.9582638888888889
9,3,0.9575,0.9584722222222222
9,4,0.9633333333333334,0.9570138888888889
9,5,0.9619444444444445,0.9573611111111111
9,6,0.9633333333333334,0.9570138888888889
9,7,0.9547222222222222,0.9591666666666666
9,8,0.9616666666666667,0.9574305555555556
9,9,0.9577777777777777,0.9584027777777778
12,0,0.9447916666666667,0.9640625
12,1,0.9495833333333333,0.964375
12,2,0.9460416666666667,0.9656770833333334
12,3,0.945,0.9644270833333334
12,4,0.9460416666666667,0.9640104166666666
12,5,0.941875,0.9650520833333334
12,6,0.9397916666666667,0.9655208333333334
12,7,0.9475,0.9643229166666667
12,8,0.9485416666666666,0.9641666666666666
12,9,0.9366666666666666,0.9645833333333333
15,0,0.5861666666666666,0.9799166666666667
15,1,0.5858333333333333,0.9795833333333334
15,2,0.5773333333333334,0.9786666666666667
15,3,0.5846666666666667,0.9794166666666667
15,4,0.5775,0.9794166666666667
15,5,0.5876666666666667,0.978125
15,6,0.575,0.9784166666666667
15,7,0.5713333333333334,0.97925
15,8,0.5811666666666667,0.978625
15,9,0.579,0.9795
18,0,0.44430555555555556,0.9977083333333333
18,1,0.4429166666666667,0.9976388888888889
18,2,0.4454166666666667,0.9972569444444445
18,3,0.4494444444444444,0.9978125
18,4,0.44722222222222224,0.9974305555555556
18,5,0.43472222222222223,0.9972916666666667
18,6,0.44472222222222224,0.9976388888888889
18,7,0.4376388888888889,0.9974652777777778
18,8,0.4454166666666667,0.9974652777777778
18,9,0.4436111111111111,0.9975694444444444